No,Issue 일자,구분,집계여부,집계분류(대),발생처/검사처,제품군,이전공정(발생처),생의번호(SO),생의번호(WO),생의건수(건),JDE 등록여부,고객사,품명,Item Code 또는 규격,긴급검사 여부,수량_생의,수량_검사의뢰,저항1,저항2,두께1,두께2,두께3,두께4,두께5,두께6,두께7,두께8,명도1,특기사항,검사시간(분),검사자/담당자,POP등록여부,검사장비,초도품(FA),판정,부적합 수준,NCR No,귀책구분,귀책처_발생,귀책담당자_발생,귀책처_유출,귀책담당자_유출,치수,특성,조립,누락,형상,외관,기타,불량현상(세부내용),대책서 접수일자,시정(구분),시정(세부내용),시정(일자),원인(구분),원인(세부내용),대책(세부내용),대책(적용일자),유효성(확인일자),유효성(확인한 생의번호),유효성(확인자),유효성(판정),F-Cost_재료,F-Cost_가공/공구,F-Cost_인건,F-Cost_운송,F-Cost_출장,F-Cost_기타,F-Cost_합계,수량_검사(치수),수량_검사(외관),수량_불량(치수),수량_불량(외관),수량_불량(합계),일정_적용월,일정_주차,F-Cost_구분,부적합 종결,발생~대책접수(일),발생~시정(일),발생~대책적용(일),발생~유효성확인(일),대책서 접수,검사수 확인,집계_현상,비고,WO 실시간 등록 여부
6692,2025-08-06 00:00:00,검사,YES,출하,출하(치수),GS,PIN,,10099176,1,,（주）에스이티,GRAPHITE(E170115530),S402S140,,20,20,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,20,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6693,2025-08-06 00:00:00,검사,YES,출하,출하(치수),GS,PIN,,10099171,1,,（주）에스이티,GRAPHITE(E170115530),S402S140,,20,20,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,20,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6694,2025-08-06 00:00:00,검사,YES,출하,출하(치수),GS,PIN,,10099170,1,,（주）에스이티,GRAPHITE(E170115520),S402S139,,20,20,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,20,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6695,2025-08-06 00:00:00,검사,YES,출하,출하(치수),GS,PIN,,10099175,1,,（주）에스이티,GRAPHITE(E170115520),S402S139,,20,20,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,20,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6696,2025-08-06 00:00:00,검사,YES,출하,출하(치수),GS,PIN,,10099172,1,,（주）에스이티,GRAPHITE(E170115540),S402S141,,20,20,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,20,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6697,2025-08-06 00:00:00,검사,YES,출하,출하(치수),GS,PIN,,10099177,1,,（주）에스이티,GRAPHITE(E170115540),S402S141,,20,20,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,20,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6698,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,탑카본,,10096734,1,,삼성전자（주）,LINEX E17312990(S),S008S491,,9,9,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,9,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6699,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,주광정밀,,10093077,1,,AXCELIS TECHNOLOGIES,APERTURE(17231630),A045S382,,754,2,,,,,,,,,,,,2EA 제품 파손으로 재생산함,30,최진욱,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6700,2025-08-06 00:00:00,검사,YES,출하,출하(치수),GS,MCT,,10096446,1,,삼성전자（주）,"LINER, CENTER 170051620(S)",S008S930,,2,2,,,,,,,,,,,,,30,최진욱,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6701,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,탑카본,,10096730,1,,삼성전자（주）,LINER S-862SET E11295310(S),S008S862-3,,9,9,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,9,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6702,2025-08-06 00:00:00,검사,YES,출하,출하(치수),GS,선반,,10099905,1,,삼성전자（주）,BAFFLE ASSY,S376S004,Y,4,4,,,,,,,,,,,,,30,유현정,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,4,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6703,2025-08-06 00:00:00,검사,YES,출하,출하(치수),GS,MCT,,10093335,1,,엑셀리스,APERTURE LH(170169812),A045S281,Y,15,15,,,,,,,,,,,,,30,유현정,YES,MVS,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,15,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6704,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,탑카본,,10096732,1,,삼성전자（주）,LINER S-862SET E11295310(S),S008S862-5,,18,18,,,,,,,,,,,,,30,유현정,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,18,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
